valid_from,group,step_1_cents,step_2_cents,step_3_cents,step_4_cents,step_5_cents,step_6_cents
2025-07-01,P4,286114,292132,296594,299961,302701,306810
2025-07-01,P6,293044,310059,327186,363614,372900,390410
2025-07-01,P7,,341469,360040,388943,403657,418813
2025-07-01,P8,,360040,375759,396457,413222,436671
2025-07-01,P9,,388365,407043,419492,443443,453543
2025-07-01,P10,,407043,419492,454807,471851,482584
2025-07-01,P11,,429933,443317,476777,498997,509099
2025-07-01,P12,,453037,467180,502533,524250,534351
2025-07-01,P13,,476146,491045,528290,555183,562128
2025-07-01,P14,,487697,502976,541169,593062,602531
2025-07-01,P15,,499250,514906,554047,600891,618780
2025-07-01,P16,,509732,526839,582078,646470,674874
2026-02-01,P4,294125,300312,304899,308360,311177,315401
2026-02-01,P6,301249,318741,336347,373795,383341,401341
2026-02-01,P7,,351030,370121,399833,414959,430540
2026-02-01,P8,,370121,386280,407558,424792,448898
2026-02-01,P9,,399239,418440,431238,455859,466242
2026-02-01,P10,,418440,431238,467542,485063,496096
2026-02-01,P11,,441971,455730,490127,512969,523354
2026-02-01,P12,,465722,480261,516604,538929,549313
2026-02-01,P13,,489478,504794,543082,570728,577868
2026-02-01,P14,,501353,517059,556322,609668,619402
2026-02-01,P15,,513229,529323,569560,617716,636106
2026-02-01,P16,,524004,541590,598376,664571,693770
