valid_from,table,group,step_1_cents,step_2_cents,step_3_cents,step_4_cents,step_5_cents,step_6_cents
2025-01-01,COMMON,P4,281992,288160,292734,296185,298994,303205
2025-01-01,COMMON,P6,289095,306535,324091,361429,370948,388515
2025-01-01,COMMON,P7,,338731,357766,387055,401698,416780
2025-01-01,COMMON,P8,,357766,373878,394533,411216,434551
2025-01-01,COMMON,P9,,386479,405067,417456,441290,451341
2025-01-01,COMMON,P10,,405067,417456,452599,469561,480241
2025-01-01,COMMON,P11,,427846,441165,474462,496575,506628
2025-01-01,COMMON,P12,,450838,464912,500093,521706,531757
2025-01-01,COMMON,P13,,473835,488662,525726,552488,559399
2025-01-01,COMMON,P14,,485329,500534,538542,590183,599607
2025-01-01,COMMON,P15,,496827,512407,551358,597974,615776
2025-01-01,COMMON,P16,,507257,524281,579252,643332,671597
2025-01-01,ANLAGE_32_TARIF_OST,P4,280616,286755,291306,294740,297535,301726
2025-01-01,ANLAGE_32_TARIF_OST,P6,287685,305040,322510,359666,369138,386620
2025-01-01,ANLAGE_32_TARIF_OST,P7,,337078,356021,385167,399738,414747
2025-01-01,ANLAGE_32_TARIF_OST,P8,,356021,372054,392608,409210,432431
2025-01-01,ANLAGE_32_TARIF_OST,P9,,384594,403091,415419,439138,449140
2025-01-01,ANLAGE_32_TARIF_OST,P10,,403091,415419,450391,467270,477899
2025-01-01,ANLAGE_32_TARIF_OST,P11,,425759,439013,472148,494152,504156
2025-01-01,ANLAGE_32_TARIF_OST,P12,,448639,462644,497654,519161,529163
2025-01-01,ANLAGE_32_TARIF_OST,P13,,471524,486278,523161,549793,556670
2025-01-01,ANLAGE_32_TARIF_OST,P14,,482962,498093,535915,587304,596682
2025-01-01,ANLAGE_32_TARIF_OST,P15,,494403,509907,548668,595057,612772
2025-01-01,ANLAGE_32_TARIF_OST,P16,,504783,521724,576426,640194,668321
