valid_from,group,step_1_cents,step_2_cents,step_3_cents,step_4_cents,step_5_cents,step_6_cents
2026-01-01,P4,293267,299435,304009,307460,310269,314480
2026-01-01,P6,300370,317810,335366,372704,382223,400170
2026-01-01,P7,,350006,369041,398667,413748,429283
2026-01-01,P8,,369041,385153,406368,423553,447588
2026-01-01,P9,,398074,417219,429979,454529,464882
2026-01-01,P10,,417219,429979,466177,483647,494649
2026-01-01,P11,,440681,454400,488696,511472,521826
2026-01-01,P12,,464363,478860,515096,537356,547710
2026-01-01,P13,,488050,503321,541497,569063,576181
2026-01-01,P14,,499889,515550,554698,607889,617594
2026-01-01,P15,,511731,527779,567898,615913,634250
2026-01-01,P16,,522475,540010,596630,662632,691746
